review,sentiment
"ดูแล้วสนุกมากเลย ขำจนเหนื่อย",positive
"หู้ย! สลีปแทบตาย ดูแล้วง่วง",negative
"แคสติ้งดีมาก, นักแสดงเน้นๆ แสดงดี",positive
"คือเรื่องนี้ว่ะ... ไม่มีอะไรน่าจดจำ",negative
"ภาพสวยมาก แต่ก็... นั่นแหละ",negative
"ดูแล้วอึดอัด สะดุดทุกฉาก",positive
"เนื้อเรื่องแบบ... คือนะ?",negative
"แอคชั่นยับยิน คือดีมาก!",positive
"แง่มๆ สนุกแหล่ะ",positive
"ฉากที่นักแสดงต้องร้องไห้, ดูแล้วยินดี",positive
"หนังสั้นไปนะ แต่ยังดีที่มีโมเม้นต์สนุก",positive
"หนังรัก แต่ไม่ซึ้งเลย",negative
"เรื่องแบบว่า... ฮาไปอีก",positive
"แสง สี หนังนี้แจ่มมาก",positive
"ไอเดียเก่าเกิน คือเก่ามาก",negative
"ดูแล้วร้องไห้ตั้งแต่ต้นจนจบ",positive
"กราฟิกไม่ค่อยเป็นไร แต่เนื้อเรื่องดี",positive
"โอ้ย! คือคาดหวังมาก แต่แ disappoint สุดๆ",negative
"อารมณ์หลังจากดู... คือบูม!",positive
"นี่คือหนังหรือละครเรื่องยาว?",negative
"จบแล้วรู้สึกคือ... ว้าว!",positive
"แสง สี สันนี้... คือสวยมาก",positive
"นักแสดงเน้นๆ แสดงไม่ได้เลย สัดส่วนไม่ดี",negative
"ดูเสร็จแล้วรู้สึกฮาป่ะ?",positive
"เรื่องนี้ดูแล้วมีความหมายมาก",positive
"คือฉันคาดหวังมาก แต่ไม่ได้อะไรเลย",negative
"สนุกแต่จบไม่ค่อยชอบ",negative
"ต้องการเวลากลับมาหลังจากดู",negative
"ฉากดุ ดูแล้วเป็นเย็น",positive
"รู้สึกเป็นคนในเรื่องเลย",positive
"เรื่องสั้นไป ควรมีเนื้อเรื่องมากขึ้น",negative
"เนื้อเรื่องซับซ้อน ต้องคิดเยอะ",positive
"คือดูไม่รู้เรื่องเลย",negative
"อารมณ์หลังจากดู คือเศร้า",positive
"ดูแล้วคือไม่มีอะไรน่าจดจำ",negative
"สุดยอด แอคชั่นเย็นสะใจ",positive
"กราฟิกซะก่อน น่าตกใจเลย",negative
"คือแบบ... สนุกสุดยอดเลย",positive
"เนื้อเรื่องเปลี่ยนไปเรื่อยๆ ดูแล้วงง",negative
"นักแสดงแจ่ม สุดยอดทุกคน",positive
"เสียดายเวลาที่เสียไปกับเรื่องนี้",negative
"แคสติ้งน่ารัก เหมาะสม",positive
"กราฟิกดี แต่เนื้อเรื่องเฉยๆ",negative
"น่าดู แนะนำเลย",positive
"คือแบบ... ฮามาก",positive
"แบบว่า... หมดคำพูด",negative
"แอคชั่นดีมาก แต่เนื้อเรื่องไม่ค่อยเกี่ยว",positive
"เรื่องนี้คือซับซ้อนมาก",positive
"เนื้อเรื่องไม่น่าสนใจเลย",negative
"สัมผัสกับความรู้สึกแบบหนักๆ",positive
"ดูแล้วรู้สึกอบอุ่นในใจ",positive
"นักแสดงนำแสดงได้ดีมาก",positive
"เรื่องน่าเบื่อ ไม่มีอะไรเกิดขึ้น",negative
"เสียดายเวลาที่เอาไปดูเรื่องนี้",negative
"ดูแล้วรู้สึกสนุกสนาน",positive
"เรื่องลึกซึ้ง แต่ตอนจบน่าผิดหวัง",negative
"ขำไม่หยุดเลย คือฮา",positive
"แนวคิดดี แต่การนำเสนอไม่ดีพอ",negative
"ภาพยนตร์ที่น่ารักและมีความหมาย",positive
"ฉากฝนตก แสดงความรู้สึกได้ดีมาก",positive
"เหมือนดูเรื่องเดิมๆ ซ้ำ",negative
"สถานที่ถ่ายทำสวยงาม",positive
"ตกลงนะ นี่คือเรื่องอะไร?",negative
"เพลงประกอบน่ารัก ชอบจัง",positive
"เรื่องยืดเยื้อมาก",negative
"เรื่องนี้ทำให้ร้องไห้",positive
"รูปแบบเรื่องนี้เหมือนเรื่องเก่าๆ",negative
"น่ารำคาญมาก ไม่แนะนำ",negative
"เนื้อหาเป็นที่น่าสนใจ",positive
"ดูแล้วไม่รู้สึกอะไรเลย",negative
"น่ารักและฮามาก",positive
"ไม่เคยเห็นเรื่องแบบนี้มาก่อน",positive
"ฉากตลกมีความคิดสร้างสรรค์",positive
"เนื้อเรื่องซ้ำซาก",negative
"อร่อยใจจริงๆ",positive
"เรื่องนี้ต้องดูในโอกาสเดียว",positive
"ไม่รู้สึกตื่นเต้นเลย",negative
"เรื่องนี้มีอารมณ์มาก",positive
"ชอบบรรยากาศในเรื่องนี้",positive
"ไม่ค่อยเข้าใจเนื้อเรื่อง",negative
"น่าตื่นเต้นมาก",positive
"ไม่เหมือนที่คิดว่าจะดู",negative
"ความรู้สึกในเรื่องนี้มีน้ำหนัก",positive
"เบื่อมาก ไม่ควรสูญเสียเวลา",negative
"เรื่องนี้ทำให้ยิ้มได้",positive
"แนวเรื่องนี้มีเรื่องใหม่ๆ",positive
"ไม่เหมือนที่คิดว่าจะดู",negative
"น่ารักและน่าสนใจมาก",positive
"เรื่องนี้มีอารมณ์มาก",positive
"ไม่ค่อยเข้าใจเนื้อเรื่อง",negative
"น่าตื่นเต้นมาก",positive
"ไม่รู้สึกตื่นเต้นเลย",negative
"เนื้อหาเป็นที่น่าสนใจ",positive
"ดูแล้วไม่รู้สึกอะไรเลย",negative
